SCHEMBL_ID	InChIKey	PUBCHEM_CID	CHEMBL_ID
SCHEMBL825	VMXUWOKSQNHOCA-UKTHLTGXSA-N	3001055	CHEMBL512
SCHEMBL830	RQEUFEKYXDPUSK-UHFFFAOYSA-N	7408	CHEMBL278059
SCHEMBL844	ILWRPSCZWQJDMK-UHFFFAOYSA-N	11130	CHEMBL4446875
SCHEMBL863	HWCKGOZZJDHMNC-UHFFFAOYSA-M	6285	CHEMBL324254
SCHEMBL879	JYVXNLLUYHCIIH-ZCFIWIBFSA-N	6419891	CHEMBL1401520
SCHEMBL881	WMZQBLIKYOQYDF-AWYUJKRASA-N	66577194	
SCHEMBL896	IMFACGCPASFAPR-UHFFFAOYSA-N	7622	CHEMBL1877658
SCHEMBL905	KHJWSKNOMFJTDN-UHFFFAOYSA-N	24180930	
SCHEMBL911	XGXNTJHZPBRBHJ-UHFFFAOYSA-N	11643997	CHEMBL1650061
SCHEMBL914	JBIROUFYLSSYDX-UHFFFAOYSA-M	8753	CHEMBL1885899
SCHEMBL919	FBPFZTCFMRRESA-KVTDHHQDSA-N	6251	CHEMBL689
SCHEMBL935	HQKMJHAJHXVSDF-UHFFFAOYSA-L	11177	CHEMBL2106633
SCHEMBL944	HTLZVHNRZJPSMI-UHFFFAOYSA-N	13007	CHEMBL25053
SCHEMBL946	WSEQXVZVJXJVFP-UHFFFAOYSA-N	2771	CHEMBL549
SCHEMBL954	OAMZXMDZZWGPMH-UHFFFAOYSA-N	21584019	
SCHEMBL960	HSDAJNMJOMSNEV-UHFFFAOYSA-N	10387	CHEMBL1581748
SCHEMBL968	BHHGXPLMPWCGHP-UHFFFAOYSA-N	1001	CHEMBL610
SCHEMBL971	RGHNJXZEOKUKBD-SQOUGZDYSA-N	10690	CHEMBL464345
SCHEMBL972	XUFQPHANEAPEMJ-UHFFFAOYSA-N	3325	
SCHEMBL974	BCRFKUZADCXWDN-UHFFFAOYSA-N	nan	
SCHEMBL977	QELSKZZBTMNZEB-UHFFFAOYSA-N	7175	CHEMBL194014
SCHEMBL1040	OSASVXMJTNOKOY-UHFFFAOYSA-N	5977	CHEMBL1439973
SCHEMBL1050	IWYDHOAUDWTVEP-UHFFFAOYSA-N	1292	CHEMBL1609
SCHEMBL1051	JRJGKUTZNBZHNK-UHFFFAOYSA-N	31226	
SCHEMBL1063	IKWKJIWDLVYZIY-UHFFFAOYSA-M	159628	CHEMBL4792223
SCHEMBL1066	AGEZXYOZHKGVCM-UHFFFAOYSA-N	7498	CHEMBL1085946
SCHEMBL1069	RXYPXQSKLGGKOL-UHFFFAOYSA-N	7818	CHEMBL3560545
SCHEMBL1088	DENKGPBHLYFNGK-UHFFFAOYSA-N	68515	
SCHEMBL1093	AQIXAKUUQRKLND-UHFFFAOYSA-N	2756	CHEMBL30
SCHEMBL1094	CYUWZZYTQRWIBI-UHFFFAOYSA-N	nan	
SCHEMBL1100	ZRSNZINYAWTAHE-UHFFFAOYSA-N	31244	CHEMBL161598
SCHEMBL1102	DBMJMQXJHONAFJ-UHFFFAOYSA-M	9028	
SCHEMBL1108	TWBYWOBDOCUKOW-UHFFFAOYSA-N	5922	CHEMBL1203
SCHEMBL1109	VJRITMATACIYAF-UHFFFAOYSA-N	65723	
SCHEMBL1116	AJLFOPYRIVGYMJ-INTXDZFKSA-N	64715	CHEMBL54440
SCHEMBL1117	TUZYXOIXSAXUGO-PZAWKZKUSA-N	54687	CHEMBL1144
SCHEMBL1119	XEZNGIUYQVAUSS-UHFFFAOYSA-N	28557	CHEMBL155204
SCHEMBL1135	RUNJHCZDNSMWGF-UHFFFAOYSA-N	3255349	
SCHEMBL1138	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	445639	CHEMBL8659
SCHEMBL1139	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	965	
SCHEMBL1146	GSEJCLTVZPLZKY-UHFFFAOYSA-N	7618	CHEMBL446061
SCHEMBL1148	ZFNVDHOSLNRHNN-UHFFFAOYSA-N	517827	CHEMBL3183483
SCHEMBL1151	HBOCNGZYIAZFSU-UHFFFAOYSA-N	11196273	
SCHEMBL1152	DCWXELXMIBXGTH-QMMMGPOBSA-N	30819	CHEMBL286939
SCHEMBL1157	BXRFQSNOROATLV-UHFFFAOYSA-N	541	CHEMBL164236
SCHEMBL1164	WYTRYIUQUDTGSX-UHFFFAOYSA-N	94185	
SCHEMBL1171	ULQQGOGMQRGFFR-UHFFFAOYSA-N	12587398	
SCHEMBL1189	CZGUSIXMZVURDU-JZXHSEFVSA-N	172198	CHEMBL408403
SCHEMBL1191	SUBDBMMJDZJVOS-UHFFFAOYSA-N	4594	CHEMBL1503
SCHEMBL1194	WFCSWCVEJLETKA-UHFFFAOYSA-N	7677	CHEMBL3183736
SCHEMBL1198	CABVTRNMFUVUDM-VRHQGPGLSA-N	445127	CHEMBL1794644
SCHEMBL1205	RDOXTESZEPMUJZ-UHFFFAOYSA-N	7519	CHEMBL278024
SCHEMBL1213	MWOOGOJBHIARFG-UHFFFAOYSA-N	1183	CHEMBL13883
SCHEMBL1215	NDYLAABPGFMVIY-UHFFFAOYSA-M	nan	
SCHEMBL1216	KGNQDBQYEBMPFZ-UHFFFAOYSA-N	9605	
SCHEMBL1218	MZLRFUCMBQWLNV-FNORWQNLSA-N	5369165	
SCHEMBL1225	XNLBCXGRQWUJLU-UHFFFAOYSA-N	75246	
SCHEMBL1241	PASDCCFISLVPSO-UHFFFAOYSA-N	7412	CHEMBL2260719
SCHEMBL1244	IVOMOUWHDPKRLL-KQYNXXCUSA-N	6076	CHEMBL316966
SCHEMBL1247	QGMRQYFBGABWDR-UHFFFAOYSA-M	5982	
SCHEMBL1252	FMHHVULEAZTJMA-UHFFFAOYSA-N	5585	CHEMBL1475
SCHEMBL1259	NHQDETIJWKXCTC-UHFFFAOYSA-N	70297	CHEMBL458855
SCHEMBL1260	RNDNSYIPLPAXAZ-UHFFFAOYSA-N	14295	CHEMBL2323841
SCHEMBL1280	WECUIGDEWBNQJJ-UHFFFAOYSA-N	31160	
SCHEMBL1296	ZAFNJMIOTHYJRJ-UHFFFAOYSA-N	7914	CHEMBL3185565
SCHEMBL1317	RVOLLAQWKVFTGE-UHFFFAOYSA-N	4991	CHEMBL812
SCHEMBL1324	GRSTVVGJSKHCCS-UHFFFAOYSA-N	5250894	
SCHEMBL1325	PFKFTWBEEFSNDU-UHFFFAOYSA-N	68263	CHEMBL3903881
SCHEMBL1330	YQYJSBFKSSDGFO-KEHBMHOOSA-N	20054941	
SCHEMBL1331	NPOMSUOUAZCMBL-UHFFFAOYSA-N	21881112	
SCHEMBL1332	WBYWAXJHAXSJNI-VOTSOKGWSA-N	444539	CHEMBL27246
SCHEMBL1335	YGCZTXZTJXYWCO-UHFFFAOYSA-N	7707	CHEMBL440161
SCHEMBL1338	LHJGJYXLEPZJPM-UHFFFAOYSA-N	7271	CHEMBL109095
SCHEMBL1346	AKGGYBADQZYZPD-UHFFFAOYSA-N	17355	CHEMBL1490851
SCHEMBL1351	CXKWCBBOMKCUKX-UHFFFAOYSA-M	6099	CHEMBL405110
SCHEMBL1353	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	2244	CHEMBL25
SCHEMBL1370	APOYTRAZFJURPB-UHFFFAOYSA-N	2734690	
SCHEMBL1372	LMDZBCPBFSXMTL-UHFFFAOYSA-N	15908	CHEMBL1397523
SCHEMBL1377	IGISPMBUGPHLBY-UHFFFAOYSA-N	67868	
SCHEMBL1378	WPYMKLBDIGXBTP-UHFFFAOYSA-N	243	CHEMBL541
SCHEMBL1386	JNYAEWCLZODPBN-JGWLITMVSA-N	10953859	
SCHEMBL1393	SMTZFNFIKUPEJC-UHFFFAOYSA-N	5105	CHEMBL46102
SCHEMBL1404	JVSFQJZRHXAUGT-UHFFFAOYSA-N	62493	CHEMBL3183814
